Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Translation (GO:0006412)	56/232	9.789703818829805E-6	0.02031048448121859	0	0	2.044634929308107	23.58318599078917	RPL30;MRPS16;RPL31;GFM2;MRPS14;MRPL38;MRPL39;RPL10A;RPL6;RPSA2;FARS2;MRPL4;RPS14;RPS16;MRPL40;RPL18A;RPL37;HEMK1;TSFM;MRPS26;RPL21;MRPS24;RPS8;RPL22;MRPS23;DHPS;MARS1;MRPS18A;RPL13A;RPS3A;MRPS7;MRPS5;DARS1;TUFM;SARS1;RPL37A;AURKAIP1;RPL29;MRPS34;SRBD1;MRPL16;RPL36A;MRPL58;MRPS30;MRPL13;GSPT1;MRPL54;IARS1;VTA1;GATB;MRPL24;MRPL21;RPS26;EPRS1;DRG2;RSL24D1
DNA Damage Response (GO:0006974)	89/421	1.1274330761667063E-5	0.02031048448121859	0	0	1.728347394904838	19.691030812243948	H2AX;MDC1;SMG1;MCM7;KDM1A;FBH1;USP32;OGG1;PARK7;BBC3;PIDD1;ENDOV;ING3;KAT5;ZNF83;ZC3H12A;CHEK1;UIMC1;MACROD1;MLST8;KMT5B;TOP3B;SHPRH;RFC3;RFC4;ARMT1;DTX3L;PARP1;RFC2;DDX11;METTL3;MSL2;NSMCE1;HUS1;VRK1;VRK2;BAZ1B;REXO2;SIRT1;ATAD3A;REXO4;FOXP1;RNF168;RAD51C;RRM2B;POLG2;ADPRS;HDGFL2;ZNF432;FAN1;PPP1R15A;RTEL1;ZBTB1;XIAP;FBXO45;ZBTB4;UACA;VCPIP1;RECQL5;MRNIP;OARD1;RBBP5;ZNF668;RBBP6;TP53BP1;TIGAR;NPM1;UBE2B;NFATC2;DELE1;INO80;USP28;PML;FBXO31;BATF;SETX;TAOK3;TTC5;TDP1;ERCC1;BCL3;POLE3;TRIP12;MNAT1;RAD9B;NRDE2;RAD18;RAD9A;CUL4B
DNA Repair (GO:0006281)	68/302	1.4528243548797273E-5	0.02031048448121859	0	0	1.8694791162715692	20.824905527394744	H2AX;DCLRE1C;FBH1;OGG1;NUCKS1;PARK7;BRCA2;ENDOV;KAT5;ZNF83;CHEK1;UIMC1;KMT5B;FAAP100;PRMT6;TOP3B;RFC3;RFC4;PARP1;DTX3L;ZGRF1;RFC2;HUS1;LIG4;SIRT6;RAD23A;COMMD1;SIRT1;REXO4;RNF168;NEIL3;RAD51C;POLG2;RRM2B;POLR1B;ADPRS;MPND;FAN1;RHNO1;FTO;EXD2;RNASEH2B;PCNA;ZBTB1;VCPIP1;RECQL5;ZNF668;ASCC2;LRIG3;NPM1;CENPX;UBE2B;USP9X;PLK1;INO80;FANCE;SETX;RAD52;SMUG1;TDP1;ERCC1;UBE2N;ERCC5;MNAT1;RAD9B;RAD18;RAD9A;CUL4B
Gene Expression (GO:0010467)	79/381	6.822404607713084E-5	0.07153291231187169	0	0	1.683133035039863	16.14581294288802	RPL30;SMG1;MRPS16;THRB;RPL31;MRPS14;CISD1;TMEM260;RPL10A;PWP1;RPL6;NFU1;RPS14;RBM4;RPS16;MRPL40;RPL18A;RPL37;RBM5;RBM6;NUP214;RPL21;RPS8;RPL22;DHPS;MRPS18A;RPL13A;RPS3A;MRPS7;MRPS5;DARS1;REXO4;AFG3L2;SARS1;HNRNPUL1;DKC1;RPL37A;SRSF3;NCBP3;HNRNPH3;AURKAIP1;RPL29;FYTTD1;ZCCHC8;DHX8;MRPS34;SRBD1;DDX20;RPL36A;BAZ2A;MRPL13;GSPT1;NUP160;CIAO1;KLK6;ZMPSTE24;HSPD1;EXOSC10;PABPN1;TAF1B;EXOSC9;TPR;NUP88;EXOSC2;EIF4E;RNGTT;LTO1;MAGOHB;MRPL24;KLK10;UBAC1;KLK11;HNRNPL;RPS26;SETX;GOLPH3;MPHOSPH10;RSL24D1;METAP1
Positive Regulation of DNA-directed DNA Polymerase Activity (GO:1900264)	6/8	1.3714650237701688E-4	0.11503848619384174	0	0	19.115044247787612	170.01801257566038	RFC3;PCNA;RFC4;POLG2;RFC2;DSCC1
Regulation of Translation (GO:0006417)	46/201	2.2271179945290297E-4	0.1261493312867009	0	0	1.902264825188333	15.997347149195962	PPP1R15A;NAT10;RPS27L;RBM4B;MTIF2;MRPL13;THBS1;GSPT1;FXR1;RBM4;ALKBH5;DHX36;IGF2BP1;EIF4E;EPHA4;EIF5B;TSFM;NPM1;PRKCH;EIF2B2;KLHL25;IFRD2;DAPK3;METTL3;SAMD4A;PYM1;ELP2;RPL13A;UPF3A;ELP3;LARP4;ELP6;PUM3;EIF5;EPRS1;CSDE1;CAPRIN1;BCL3;GEMIN5;PLXNB2;EIF3E;CPEB3;OGT;GAPDH;EIF4G2;METAP1
Regulation of Transcription Elongation by RNA Polymerase II (GO:0034243)	23/79	2.380159588743001E-4	0.1261493312867009	0	0	2.6252186588921282	21.902652994102088	INTS12;TCERG1;CCNT2;INTS14;PARP1;INTS1;ZMYND8;INTS2;MED8;SUPT4H1;MED9;SIRT6;ELL3;MED23;RNF168;MED14;MED25;RECQL5;LEO1;INTS4;NELFA;DMAP1;VHL
Mitochondrial Translation (GO:0032543)	26/94	2.4062819511054054E-4	0.1261493312867009	0	0	2.444956734551176	20.372009271104012	MRPS16;GFM2;MRPS14;MRPS34;MRPL38;MRPL16;MRPL39;MRPL58;MTIF2;MRPS30;MTIF3;MRPL13;MRPL54;MRPL4;MRPL40;TSFM;MRPS26;MRPS24;MRPS23;MRPS18A;GATB;MRPS7;MRPL24;MRPS5;MRPL21;TUFM
Regulation of Double-Strand Break Repair via Homologous Recombination (GO:0010569)	23/80	2.916363711687667E-4	0.13479013617639052	0	0	2.579012466230511	20.993168789062054	RTEL1;PARPBP;KDM1A;PARP1;FBH1;KLHL15;MAGEF1;PLK1;WAS;SIRT6;MORF4L1;ING3;MRNIP;MRGBP;KAT5;PPP4R2;VPS72;POLR1B;CHEK1;RUVBL1;DMAP1;TP53BP1;HDGFL2
Double-Strand Break Repair (GO:0006302)	41/176	3.21388021402934E-4	0.13479013617639052	0	0	1.9453146833796815	15.645896329981573	H2AX;EXD2;DCLRE1C;AP5Z1;FBH1;ZMYND8;NUCKS1;BRCA2;ZFYVE26;RECQL5;KAT5;SFR1;ZNF83;POGZ;UIMC1;LRIG3;TP53BP1;DTX3L;PARP1;ZGRF1;PLK1;NSMCE1;HUS1;LIG4;SIRT6;INO80;PALB2;SETX;RNF168;RAD52;MORF4L1;MMS22L;RAD51C;POLG2;TDP1;POLR1B;ERCC1;UBE2N;ERCC5;MPND;FAN1
