Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Lysine degradation	16/63	0.008737152112963473	0.9734537756006275	0	0	2.1714411704489978	10.293002437469585	KMT2D;KMT2A;SETDB1;AADAT;PRDM6;KMT2B;SETD1A;SETDB2;PLOD3;DLST;ASH1L;DHTKD1;ALDH3A2;NSD1;KMT5B;DLD
Central carbon metabolism in cancer	17/70	0.011124186065404548	0.9734537756006275	0	0	2.0460137056156698	9.204266035424881	TIGAR;MAP2K2;FLT3;IDH1;PTEN;SIRT6;SLC1A5;HK1;NRAS;PKM;AKT2;AKT1;RAF1;SLC16A3;MET;PFKM;FGFR2
Citrate cycle (TCA cycle)	9/30	0.015243268134705425	0.9734537756006275	0	0	2.7307388071507672	11.424366134981568	CS;PC;IDH1;IDH3B;DLST;SUCLG1;DLAT;DLD;PCK2
Glycolysis / Gluconeogenesis	16/67	0.01585694099048424	0.9734537756006275	0	0	2.0006676245627784	8.291062649239912	ACSS2;ADPGK;HK1;ALDH3A2;ALDH3B2;PKM;ALDH3B1;PGK1;PGM2;DLAT;ALDOB;ALDOA;DLD;GAPDH;PFKM;PCK2
RNA degradation	18/79	0.017631368518165283	0.9734537756006275	0	0	1.8820765027322404	7.599967318171916	HSPA9;BTG1;TOB2;LSM5;EDC3;HSPD1;LSM2;CNOT4;PAN2;EXOSC10;XRN1;EXOSC9;CNOT2;DHX36;DCP1A;EXOSC2;PFKM;DCP1B
Ribosome	31/158	0.02141741224374232	0.9734537756006275	0	0	1.558407497164827	5.989818743292978	RPL30;MRPS16;RPL31;MRPS14;RPS10-NUDT3;MRPL16;RPL36A;RPS27L;RPL10A;MRPL13;RPL6;MRPL4;RPS14;RPS16;RPL18A;RPL37;RPL21;RPS8;RPL22;MRPS18A;MRPL28;RPL13A;RPS3A;MRPS7;MRPL24;MRPL21;MRPS5;RPS26;RPL37A;RPL29;RSL24D1
Lysosome	26/128	0.022123949445468808	0.9734537756006275	0	0	1.6267517408151968	6.19970472925969	CD63;CLTC;ABCB9;CTSV;TCIRG1;GGA1;GM2A;AP1G1;CTSL;NEU1;PSAP;ATP6V0A2;IDS;ACP2;AGA;GUSB;CTSA;AP3B1;AP4B1;AP3B2;PLA2G15;GALC;GNPTG;NPC2;PPT1;ATP6V0C
Autophagy	27/137	0.028667503569549148	0.9764096128352017	0	0	1.5663119489206445	5.5635260672046	PTEN;IGF1R;MAPK8;NRAS;DEPTOR;ATG101;CTSL;AKT2;MLST8;AKT1;ATG7;SNAP29;IGBP1;RUBCN;MAP2K2;DAPK3;TSC1;WIPI1;CFLAR;ATG13;RRAGB;ATG16L1;RHEB;AKT1S1;ATG4C;SMCR8;RAF1
Acute myeloid leukemia	15/67	0.03308830236452678	0.9764096128352017	0	0	1.8387688892683343	6.267582516147949	MAP2K2;FLT3;ZBTB16;STAT3;DUSP6;NFKB1;PML;CCNA2;NRAS;AKT2;PIM1;RARA;AKT1;RAF1;PPARD
Basal transcription factors	11/45	0.035291262831767915	0.9764096128352017	0	0	2.0614094178491493	6.893600168722375	GTF2A2;TBP;TAF11;TAF8;TBPL1;TAF6;TAF5;MNAT1;GTF2E1;TAF3;TAF2
RNA transport	34/186	0.04258634525007681	0.9764096128352017	0	0	1.4276119695662406	4.505859750645097	NUP188;DDX20;NMD3;NUP160;FXR1;PNN;MAGOH;TPR;XPO5;NUP88;EIF2B1;EIF4E;RAE1;NUP214;EIF2B5;RANBP2;EIF5B;EIF2B3;SEC13;EIF2B2;UBE2I;PYM1;NUP153;UPF3A;MAGOHB;RANGAP1;SENP2;EIF5;RPP21;GEMIN5;EIF3E;RPP25;KPNB1;EIF4G2
Prolactin signaling pathway	15/70	0.046868132673568014	0.9764096128352017	0	0	1.7381697104227627	5.319524666693671	MAP2K2;SRC;STAT1;STAT3;FOS;NFKB1;MAPK8;NRAS;SOCS1;TH;AKT2;IRF1;AKT1;RAF1;SOCS4
Nucleotide excision repair	11/47	0.04706278913195008	0.9764096128352017	0	0	1.9466609202479168	5.949526490185267	RFC3;PCNA;RFC4;RFC2;ERCC1;POLE3;RPA2;RAD23A;ERCC5;MNAT1;CUL4B
Estrogen signaling pathway	26/137	0.047179474771395453	0.9764096128352017	0	0	1.494069849939092	4.5625850357227105	HSP90AB1;SRC;TGFA;HSP90B1;GNAI2;NRAS;AKT2;AKT1;HSP90AA1;GABBR1;MAP2K2;NCOA3;HSPA6;FOS;SP1;KRT16;GNAS;RARA;CALM3;TFF1;FKBP4;RAF1;CALM1;PLCB1;CALM2;EBAG9
DNA replication	9/36	0.04755241620950657	0.9764096128352017	0	0	2.123169681309216	6.467010679846795	RNASEH2B;RFC3;PCNA;RFC4;MCM7;RFC2;POLE3;RPA2;MCM4
Fluid shear stress and atherosclerosis	26/139	0.05481647169582327	0.9999948017010682	0	0	1.4674551933621744	4.261144371842636	BMPR2;HSP90AB1;SRC;MGST3;SDC2;KEAP1;TXN;PRKCZ;HSP90B1;MAPK8;CTSL;AKT2;AKT1;RAC3;ACVR1;HSP90AA1;GSTO2;CAV1;FOS;NFKB1;PTK2;CTNNB1;CALM3;CALM1;CALM2;NFE2L2
Ubiquitin mediated proteolysis	26/140	0.05895038141982922	0.9999948017010682	0	0	1.4544980579234117	4.117770081785002	CUL3;KEAP1;XIAP;UBE3B;UBE2Z;HERC3;COP1;SOCS1;UBB;UBE2Q1;CDC26;VHL;BTRC;UBE2I;PPIL2;FBXW8;UBE2B;SMURF1;PML;ITCH;CDC34;UBE2R2;UBE2N;ANAPC5;TRIP12;CUL4B
p53 signaling pathway	15/73	0.06424375183329993	0.9999948017010682	0	0	1.6479773431819051	4.523814496464306	STEAP3;SIVA1;PTEN;TNFRSF10B;THBS1;BBC3;PIDD1;COP1;TP53I3;RRM2B;SESN1;CCNG2;CHEK1;CYCS;ATR
