Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Unfolded Protein Response	31/113	7.564698703391726E-5	0.003782349351695863	0	0	2.419962420688591	22.96407112352249	H2AX;SDAD1;HSP90B1;RPS14;SERP1;EXOSC10;BAG3;EXOSC9;SSR1;DNAJB9;BANF1;CHAC1;IARS1;EXOSC2;EIF4E;SEC11A;SEC31A;HSPA9;NOP14;NPM1;ASNS;WIPI1;YWHAZ;PDIA5;CNOT4;TUBB2A;DKC1;CNOT2;DCP1A;TARS1;EXOC2
E2F Targets	42/200	0.002444594695538672	0.04074324492564453	0	0	1.7010274166997785	10.229767852006498	H2AX;PCNA;MCM7;DSCC1;CSE1L;PSIP1;BRCA2;GSPT1;LMNB1;TBRG4;PNN;ING3;RACGAP1;PTTG1;TRA2B;CHEK1;NBN;PLK4;HELLS;TIPIN;RFC3;DUT;RFC2;PLK1;ATAD2;HUS1;RPA2;NUP153;NAP1L1;PA2G4;KIF22;TUBG1;DCK;NME1;PAN2;MMS22L;RAD51C;ANP32E;CKS2;MCM4;RAD1;NAA38
Myc Targets V1	42/200	0.002444594695538672	0.04074324492564453	0	0	1.7010274166997785	10.229767852006498	HDDC2;HDAC2;PCNA;HSP90AB1;MCM7;KARS1;PWP1;COX5A;RPL6;GSPT1;HSPD1;PSMD7;YWHAQ;TRA2B;PGK1;IARS1;CCT7;HNRNPA1;EIF4E;CCT2;NPM1;DUT;RFC4;NOP16;RPL22;NAP1L1;PA2G4;NME1;TUFM;LSM2;CCNA2;EPRS1;PSMA1;PSMC4;POLE3;SRSF3;MCM4;HDGF;SNRPA1;SNRPA;KPNB1;EIF4G2
Estrogen Response Late	40/200	0.0072907976894657864	0.0862101929570542	0	0	1.5983943241224794	7.865925946931673	CLIC3;ABHD2;HSPB8;HSPA4L;NAB2;SEMA3B;LAMC2;SERPINA5;SLC2A8;TRIM29;MDK;ALDH3B1;CCN5;PLK4;CA12;GINS2;IGFBP4;SIAH2;ABCA3;CAV1;TPBG;METTL3;NPY1R;ATP2B4;PDZK1;FOS;KLK10;KLK11;OVOL2;BATF;ALDH3A2;TH;SCNN1A;TFF3;TFF1;CHPT1;SGK1;FKBP4;TJP3;LLGL2
DNA Repair	31/150	0.010529086719214912	0.0862101929570542	0	0	1.6639499863957492	7.576985434059747	GTF2A2;PCNA;CANT1;GTF3C5;DCTN4;COX17;SUPT4H1;PNP;ZNF707;MRPL40;GUK1;TK2;POLR2H;RAE1;SAC3D1;SF3A3;RFC3;DUT;RFC4;RFC2;RPA2;TARBP2;NME1;NUDT9;RAD52;RRM2B;ERCC1;POLR1D;ERCC5;TAF6;VPS28
G2-M Checkpoint	39/200	0.012069427013987588	0.0862101929570542	0	0	1.5480862192483986	6.838020239076783	H2AX;NOTCH2;NUMA1;CUL3;BRCA2;GSPT1;SMC2;LMNB1;RACGAP1;PTTG1;TRA2B;CHEK1;ABL1;SRSF10;TNPO2;BUB1;PLK4;SS18;GINS2;CASP8AP2;SLC38A1;PLK1;HUS1;RPA2;KNL1;KIF22;PML;CCNA2;CENPF;MEIS1;EWSR1;INCENP;DKC1;NCL;MTF2;BCL3;CKS2;MNAT1;KPNB1
Estrogen Response Early	39/200	0.012069427013987588	0.0862101929570542	0	0	1.5480862192483986	6.838020239076783	CLIC3;CANT1;WWC1;ABHD2;HSPB8;SEMA3B;RHOBTB3;TSKU;AKAP1;IGF1R;SEC14L2;MUC1;DEPTOR;ALDH3B1;CCN5;SYBU;SLC19A2;CA12;ZNF185;IGFBP4;SIAH2;ABCA3;TPBG;GREB1;KRT8;NPY1R;PDZK1;FOS;CBFA2T3;KLK10;OVOL2;ESRP2;SCNN1A;RARA;TFF3;TFF1;CHPT1;FKBP4;TJP3
Mitotic Spindle	38/199	0.018022389464410767	0.11263993415256729	0	0	1.5078288680819505	6.055652486019326	NOTCH2;DOCK4;STAU1;NUMA1;BRCA2;KLC1;HDAC6;LMNB1;CYTH2;PCM1;OPHN1;PPP4R2;RACGAP1;KIF3B;CNTRL;ABL1;KIFAP3;BUB1;SAC3D1;CLASP1;CDK5RAP2;RALBP1;PLK1;TBCD;ARHGAP29;TSC1;KIF22;ARHGAP27;SEPTIN9;CKAP5;LATS1;CCDC88A;CENPF;INCENP;CENPJ;MYH9;TUBGCP3;KPTN
Androgen Response	21/100	0.02647975012106627	0.13799834286453472	0	0	1.6955689162360428	6.157246546870372	UBE2I;TMEM50A;ACTN1;ABHD2;NGLY1;KRT8;TMPRSS2;PA2G4;MYL12A;CDC14B;ELK4;INPP4B;HERC3;SCD;PGM3;AKT1;DNAJB9;PTK2B;SGK1;SLC38A2;FADS1
mTORC1 Signaling	37/200	0.030359635430197637	0.13799834286453472	0	0	1.4494248323238055	5.06521993065884	PPP1R15A;ITGB2;CXCR4;TMEM97;SLC1A5;ADIPOR2;HSP90B1;HSPD1;PNP;SERP1;PRDX1;SERPINH1;PGK1;SSR1;ABCF2;ATP6V1D;SEC11A;BUB1;FADS1;HSPA9;IDH1;PLK1;CYP51A1;ASNS;IMMT;CACYBP;TUBG1;UCHL5;PSMA3;EPRS1;PSMC4;SCD;PSMC2;MCM4;PSMG1;ALDOA;GAPDH
