PeakID (cmd=annotatePeaks.pl filtered_peaks.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr17-39	chr17	40322374	40322616	+	1	NA	promoter-TSS (ENST00000582914.1)	protein_coding-promoter-TSS (ENST00000582914.1)	-496	ENST00000582914.1	ENSG00000131759	ENST00000475125			RARA			protein_coding
chr5-1899	chr5	154830073	154830315	+	1	NA	TTS (ENST00000517448.5)	protein_coding-TTS (ENST00000517448.5)	736	ENST00000579966.1	ENSG00000263361	ENST00000579966			MIR378H			miRNA
chr7-143	chr7	131109915	131110157	+	1	NA	promoter-TSS (ENST00000416992.6)	protein_coding-promoter-TSS (ENST00000416992.6)	-60	ENST00000421797.6	ENSG00000128585	ENST00000458153			MKLN1			protein_coding
chr13-33	chr13	44989424	44989666	+	1	NA	promoter-TSS (ENST00000361121.6)	protein_coding-promoter-TSS (ENST00000361121.6)	7	ENST00000379151.9	ENSG00000133114	ENST00000361121			GPALPP1			protein_coding
chr10-1566	chr10	74176562	74176804	+	1	NA	promoter-TSS (ENST00000372734.5)	protein_coding-promoter-TSS (ENST00000372734.5)	31	ENST00000672394.1	ENSG00000156110	ENST00000673310			ADK			protein_coding
chr22-1485	chr22	31329008	31329250	+	1	NA	intron (ENST00000266269.10, intron 3 of 4)	protein_coding-intron (ENST00000266269.10, intron 3 of 4)	-6220	ENST00000451161.1	ENSG00000228839	ENST00000451161			PIK3IP1-DT			lncRNA
chr8-273	chr8	100157775	100158017	+	1	NA	promoter-TSS (ENST00000251809.4)	protein_coding-promoter-TSS (ENST00000251809.4)	-10	ENST00000520643.5	ENSG00000104450	ENST00000520508			SPAG1			protein_coding
chr7-19	chr7	74635641	74635883	+	1	NA	Intergenic	Intergenic	-1878	ENST00000623770.1	ENSG00000279005	ENST00000623770			ENSG00000279005			TEC
chr7-155	chr7	47475150	47475392	+	1	NA	intron (ENST00000705350.1, intron 4 of 30)	protein_coding-intron (ENST00000311160.14, intron 4 of 30)	6014	ENST00000415929.5	ENSG00000136205	ENST00000474346			TNS3			protein_coding
chr3-1965	chr3	183480081	183480323	+	1	NA	Intergenic	Intergenic	-17001	ENST00000604762.1	ENSG00000271682	ENST00000604762			TVP23CP3			processed_pseudogene
chr11-2919	chr11	111334816	111335058	+	1	NA	Intergenic	Intergenic	-12820	ENST00000581087.1	ENSG00000264032	ENST00000581087			MIR4491			miRNA
chr1-113	chr1	205750079	205750321	+	1	NA	promoter-TSS (ENST00000367142.5)	protein_coding-promoter-TSS (ENST00000367142.5)	-18	ENST00000367142.5	ENSG00000069275	ENST00000464938			NUCKS1			protein_coding
chr17-5177	chr17	63752609	63752851	+	1	NA	promoter-TSS (ENST00000580553.1)	protein_coding-promoter-TSS (ENST00000580553.1)	-633	ENST00000580553.1	ENSG00000125695	ENST00000580553			ENSG00000125695			protein_coding
chr6-1113	chr6	159726907	159727149	+	1	NA	promoter-TSS (ENST00000337387.4)	protein_coding-promoter-TSS (ENST00000337387.4)	30	ENST00000614346.4	ENSG00000146457	ENST00000462110			WTAP			protein_coding
chr6-1196	chr6	24357365	24357607	+	1	NA	exon (ENST00000274766.2, exon 1 of 1)	lncRNA-exon (ENST00000274766.2, exon 1 of 1)	167	ENST00000436313.1	ENSG00000146038	ENST00000378450			DCDC2			protein_coding
chr16-2511	chr16	89833980	89834222	+	1	NA	intron (ENST00000563972.1, intron 1 of 2)	protein_coding-intron (ENST00000378247.8, intron 1 of 14)	5403	ENST00000566337.5	ENSG00000204991	ENST00000565103			SPIRE2			protein_coding
chr3-2559	chr3	189944462	189944704	+	1	NA	Intergenic	Intergenic	19538	ENST00000490940.1	ENSG00000090530	ENST00000490940			P3H2			protein_coding
chr12-32	chr12	120136458	120136700	+	1	NA	exon (ENST00000300648.7, exon 51 of 58)	protein_coding-exon (ENST00000300648.7, exon 51 of 58)	811	ENST00000549815.1	ENSG00000089154	ENST00000300648			GCN1			protein_coding
chr2-839	chr2	197705515	197705757	+	1	NA	exon (ENST00000282276.8, exon 1 of 1)	protein_coding-exon (ENST00000282276.8, exon 1 of 1)	267	ENST00000282276.8	ENSG00000247626	ENST00000282276			MARS2			protein_coding
chr17-326	chr17	50904668	50904910	+	1	NA	intron (ENST00000514358.1, intron 2 of 4)	lncRNA-intron (ENST00000514358.1, intron 2 of 4)	-3889	ENST00000519432.1	ENSG00000229980	ENST00000523470			TOB1-AS1			lncRNA
chr11-1780	chr11	6388055	6388297	+	1	NA	Intergenic	Intergenic	-2264	ENST00000533196.1	ENSG00000166311	ENST00000530395			SMPD1			protein_coding
chr22-31	chr22	42313740	42313982	+	1	NA	intron (ENST00000515426.1, intron 1 of 1)	protein_coding-intron (ENST00000515426.1, intron 1 of 1)	4378	ENST00000675876.1	ENSG00000100207	ENST00000683686			TCF20			protein_coding
chr7-4837	chr7	433743	433985	+	1	NA	intron (ENST00000664509.1, intron 1 of 1)	lncRNA-intron (ENST00000664509.1, intron 1 of 1)	8381	ENST00000652788.1	ENSG00000286710	ENST00000652788			ENSG00000286710			lncRNA
chr16-1184	chr16	78053142	78053384	+	1	NA	intron (ENST00000567430.2, intron 2 of 2)	lncRNA-intron (ENST00000563114.1, intron 1 of 1)	-3366	ENST00000562317.1	ENSG00000260731	ENST00000562317			KRT8P22			processed_pseudogene
chr3-7862	chr3	184234349	184234591	+	1	NA	promoter-TSS (ENST00000461141.5)	protein_coding-promoter-TSS (ENST00000461141.5)	-50	ENST00000461141.5	ENSG00000145198	ENST00000461141			VWA5B2			protein_coding
chr2-131	chr2	207930786	207931028	+	1	NA	intron (ENST00000457206.1, intron 5 of 7)	protein_coding-intron (ENST00000427836.8, intron 5 of 7)	46543	ENST00000447645.5	ENSG00000178385	ENST00000457206			PLEKHM3			protein_coding
chr16-1411	chr16	30857036	30857278	+	1	NA	intron (ENST00000572628.5, intron 5 of 5)	protein_coding-intron (ENST00000380317.8, intron 5 of 5)	-16403	ENST00000576194.1	ENSG00000099385	ENST00000576194			BCL7C			protein_coding
chr20-1849	chr20	19976826	19977068	+	1	NA	intron (ENST00000648440.1, intron 8 of 11)	protein_coding-intron (ENST00000255006.12, intron 9 of 12)	-40363	ENST00000310450.8	ENSG00000173418	ENST00000398602			NAA20			protein_coding
chr5-1823	chr5	132490586	132490828	+	1	NA	promoter-TSS (ENST00000245414.9)	protein_coding-promoter-TSS (ENST00000245414.9)	19	ENST00000439555.2	ENSG00000125347	ENST00000681197			IRF1			protein_coding
chr9-44	chr9	134380238	134380480	+	1	NA	TTS (ENST00000585099.1)	miRNA-TTS (ENST00000585099.1)	948	ENST00000585099.1	ENSG00000263897	ENST00000585099			MIR4669			miRNA
chr13-12	chr13	23715219	23715461	+	1	NA	exon (ENST00000691844.2, exon 1 of 3)	lncRNA-exon (ENST00000691844.2, exon 1 of 3)	188	ENST00000691844.2	ENSG00000289332	ENST00000691844			ENSG00000289332			lncRNA
chr10-4295	chr10	119651048	119651290	+	1	NA	promoter-TSS (ENST00000369085.8)	protein_coding-promoter-TSS (ENST00000369085.8)	-211	ENST00000369085.8	ENSG00000151929	ENST00000450186			BAG3			protein_coding
